id,name,mail_address_1,mail_address_2,city,state,country,zip,phone,fitter,retailer,longitude,latitude,created_at,updated_at,place_id,website,formatted_address,google_places_name,email,duplicate_domain,source_brand,source_url,added_to_ac,sent_email
29,Pine Oaks Golf Club,68 Prospect St,"South Easton, MA 02375-1575",South Easton,MA,UNITED STATES,02375-1575,508-238-2320,true,true,,,,,,http://www.pineoaks.com/,"68 Prospect St, South Easton, MA 02375, USA",Pine Oaks Golf Course,,,,,,
30,Golf USA,307 Fort Riley Blvd,"Manhattan, KS 66502-6357",Manhattan,KS,UNITED STATES,66502-6357,785-537-9235,true,true,,,,,,http://golfusamanhattan.com/,"307 Fort Riley Blvd, Manhattan, KS 66502, USA",Golf USA,,,,,,
31,Ball Golf Academy and Range,7501 N Robinson Ave,"Oklahoma City, OK 73116-7760",Oklahoma City,OK,UNITED STATES,73116-7760,405-842-2626,true,true,,,,,,http://ballgolf.com/,"7501 N Robinson Ave, Oklahoma City, OK 73116, USA",Ball Golf Center,,,,,,
32,Golf USA Okc South,14040 Joel Mcdonald Dr Ste B,"Oklahoma City, OK 73134-5101",Oklahoma City,OK,UNITED STATES,73134-5101,405-685-5577 ,true,true,,,,,,https://golfusa.com/,"14040 Joel McDonald Dr, Oklahoma City, OK 73134, USA",Golf USA,,,,,,
33,Lennys Golf Shop,2601 S Parker Rd,"Aurora, CO 80014-1617",Aurora,CO,UNITED STATES,80014-1617,303-369-5900,true,true,,,,,,http://www.lennysskiandgolf.com/,"2601 Parker Rd, Aurora, CO 80014, USA",Lenny's Golf Shop,,,,,,
34,Poe Golf Co,17 S Fourth St,"Columbia, MO 65201-4226",Columbia,MO,UNITED STATES,65201-4226,573-445-7546,true,true,,,,,,http://www.poegolf.com/,"17 S 4th St, Columbia, MO 65201, USA",Poe Golf Company,,,,,,
35,Golf Headquarters,1850 W Ridgeway Ave Ste 1,"Waterloo, IA 50701-4603",Waterloo,IA,UNITED STATES,50701-4603,319-232-3979,true,true,,,,,,http://www.waterloogolfheadquarters.com/,"1850 W Ridgeway Ave, Waterloo, IA 50701, USA",Waterloo Golf Headquarters,,,,,,
36,Rochester Indoor Golf Ctr,1642 Highway 52 N Hillcrest Shopping Ctr,"Rochester, MN 55901-1664",Rochester,MN,UNITED STATES,55901-1664,507-529-0223,true,true,,,,,,http://www.rochesterindoorgolfcenter.com/,"1642 US-52, Rochester, MN 55901, USA",Rochester Indoor Golf Center,,,,,,
37,Pro Am Golf,3174 S Brentwood Blvd,"Saint Louis, MO 63119-1743",Saint Louis,MO,UNITED STATES,63119-1743,314-781-7775 ,true,true,,,,,,https://www.proamgolfusa.com/,"3174 S Brentwood Blvd, St. Louis, MO 63119, USA",Pro Am Golf USA,,,,,,
38,Lous Golf Shop,1405 W Frankford Rd Ste 107,"Carrollton, TX 75007-4900",Carrollton,TX,UNITED STATES,75007-4900,972-446-1418,true,true,,,,,,http://lousgolf.com/,"1405 W Frankford Rd #107, Carrollton, TX 75007, USA",Lou's Golf Shop,,,,,,
39,Ultimate Golf,7203 Kingery Hwy,"Willowbrook, IL 60527-7561",Willowbrook,IL,UNITED STATES,60527-7561,630-323-1244,true,true,,,,,,http://www.ultimategolfillinois.com/,"7203 Kingery Hwy, Willowbrook, IL 60527, USA",Ultimate Golf,,,,,,
40,Club Champion,Willowbrook Key 810 75th St,"Willowbrook, IL 60527-8428",Willowbrook,IL,UNITED STATES,60527-8428,630-654-8887 ,true,true,,,,,,http://www.clubchampiongolf.com/,"810 75th St, Willowbrook, IL 60527, USA",Club Champion,,,,,,
41,The Golf Complex,5980 Us Highway 60 W,"Paducah, KY 42001-9647",Paducah,KY,UNITED STATES,42001-9647,270-442-9221 ,true,true,,,,,,http://www.thegolfcomplex.com/,"5980 US-60, Paducah, KY 42001, USA",Golf Complex,,,,,,
42,Des Plaines Golf Center,353 N River Rd,"Des Plaines, IL 60016-1210",Des Plaines,IL,UNITED STATES,60016-1210,847-803-4757 ,true,true,,,,,,http://www.golfcenterdesplaines.com/,"353 N River Rd, Des Plaines, IL 60016, USA",Golf Center Des Plaines,,,,,,
43,Golf Galaxy Austin Aroboretum,10001 Research Blvd,"Austin, TX 78759-5689",Austin,TX,UNITED STATES,78759-5689,512-502-9231,true,true,,,,,,https://stores.golfgalaxy.com/tx/austin/3201/?seo=localpack,"10001 Research Blvd, Austin, TX 78759, USA",Golf Galaxy,,,,,,
44,Golf School of Indiana,7000 Longest Dr,"Carmel, IN 46033-8829",Carmel,IN,UNITED STATES,46033-8829,317-750-4715 ,true,true,,,,,,http://www.golfschoolofindiana.com/,"7000 Longest Dr, Carmel, IN 46033, USA",Golf School of Indiana,,,,,,
45,Woodforest Golf Club,1199 Fish Creek Thoroughfare,"Montgomery, TX 77316-6944",Montgomery,TX,UNITED STATES,77316-6944,936-588-8800,true,true,,,,,,http://www.woodforestgolf.com/,"1199 Fish Creek Thoroughfare, Montgomery, TX 77316, USA",Woodforest Golf Club,,,,,,
46,Mk Golf Technologies,10412 Gulfdale St,"San Antonio, TX 78216-4129",San Antonio,TX,UNITED STATES,78216-4129,210-392-4858,true,true,,,,,,https://www.mkgolftech.com/,"10412 Gulfdale St, San Antonio, TX 78216, USA",MK Golf Tech,,,,,,
47,Inverness Golf and Repair Inc,4647-d Us Hwy 280,"Birmingham, AL 35242",Birmingham,AL,UNITED STATES,35242,205-991-1008,true,true,,,,,,http://invernessgolfbham.com/,"4647 US-280 D, Birmingham, AL 35242, USA",Inverness Golf & Repair,,,,,,
48,Hornacek's House of Golf Inc,23587 N Scottsdale Rd Ste C4,"Scottsdale, AZ 85255-3470",Scottsdale,AZ,UNITED STATES,85255-3470,480-502-0555,true,true,,,,,,http://hornaceksgolf.com/,"23587 N Scottsdale Rd, Scottsdale, AZ 85255, USA",Hornacek's Golf,,,,,,
49,Cool Clubs,7267 E Adobe Dr Ste 115,"Scottsdale, AZ 85255-4032",Scottsdale,AZ,UNITED STATES,85255-4032,480-284-7766,true,true,,,,,,http://www.coolclubs.com/,"7267 E Adobe Dr Suite 115, Scottsdale, AZ 85255, USA",Cool Clubs,,,,,,
50,All About Golf,1828 E University Dr Ste 7,"Tempe, AZ 85281-4275",Tempe,AZ,UNITED STATES,85281-4275,480-699-7863,true,true,,,,,,http://allaboutgolf.com/,"1828 E University Dr Suite #7, Tempe, AZ 85281, USA",All About Golf,,,,,,
51,Golf Galaxy Chandler,880 N 54th St,"Chandler, AZ 85226-1504",Chandler,AZ,UNITED STATES,85226-1504,480-705-6771,true,true,,,,,,https://stores.golfgalaxy.com/az/chandler/3212/?seo=localpack,"880 N 54th St, Chandler, AZ 85226, USA",Golf Galaxy,,,,,,
52,Windmill Golf Center,1511 E Aurora Rd,"Macedonia, OH 44056-1917",Macedonia,OH,UNITED STATES,44056-1917,330-467-6425,true,true,,,,,,http://www.windmillgolfcenter.com/,"1511 E Aurora Rd, Macedonia, OH 44056, USA",Windmill Golf Center,,,,,,
53,Idle Hour Country Club Pro Shop,251 Idle Hour Dr,"Macon, GA 31210-4701",Macon,GA,UNITED STATES,31210-4701,478-477-8777,true,true,,,,,,http://www.idlehourclub.com/,"251 Idle Hour Dr, Macon, GA 31210, USA",Idle Hour Golf & Country Club,,,,,,
54,Golf Galaxy Robinson,6530 Steubenville Pike,"Pittsburgh, PA 15205-1006",Pittsburgh,PA,UNITED STATES,15205-1006,412-809-0392,true,true,,,,,,https://stores.golfgalaxy.com/pa/pittsburgh/602/?seo=localpack,"6530 Steubenville Pike, Pittsburgh, PA 15205, USA",Golf Galaxy,,,,,,
55,Continental Golf,1401 Capital Blvd,"Raleigh, NC 27603-1119",Raleigh,NC,UNITED STATES,27603-1119,919-833-8887 ,true,true,,,,,,http://www.continentalgolf.net/,"1401 Capital Blvd, Raleigh, NC 27603, USA",Continental Golf,,,,,,
56,PGA TOUR Superstore Jacksonville,Suite 300 4906 Town Center Pkwy,"Jacksonville, FL 32246",Jacksonville,FL,UNITED STATES,32246,904-380-4400,true,true,,,,,,https://www.pgatoursuperstore.com/stores/jacksonville-florida/1209.html,"4906 Town Center Pkwy #300, Jacksonville, FL 32246, USA",PGA TOUR Superstore,,,,,,
57,Golf Shoppe at Sittler,15475 Kutztown Rd,"Kutztown, PA 19530-9348",Kutztown,PA,UNITED STATES,19530-9348,610-683-7232,true,true,,,,,,http://www.sittlergolf.com/,"15475 Kutztown Rd, Kutztown, PA 19530, USA",Sittler Golf Center,,,,,,
58,Keplers Golf,2329 Boulevard Cir,"Walnut Creek, CA 94595-1101",Walnut Creek,CA,UNITED STATES,94595-1101,925-932-8179,true,true,,,,,,http://www.keplersgolf.com/,"2329 Boulevard Cir, Walnut Creek, CA 94595, USA",Kepler's Golf Repair,,,,,,
59,Redtail Golf Center,8200 Sw Scholls Ferry Rd,"Beaverton, OR 97008-6609",Beaverton,OR,UNITED STATES,97008-6609,503-646-5166,true,true,,,,,,http://golfredtail.com/,"8200 SW Scholls Ferry Rd, Beaverton, OR 97008, USA",RedTail Golf Center,,,,,,
60,Pro Golf Discount Inc,13405 Se 30th St Ste 1a,"Bellevue, WA 98005-4412",Bellevue,WA,UNITED STATES,98005-4412,425-401-0388,true,true,,,,,,https://www.golfdiscount.com/,"13405 SE 30th St Suite 1A, Bellevue, WA 98005, USA",Golf Discount,,,,,,
61,Puetz Tukwila,402 Strander Blvd,"Tukwila, WA 98188-2919",Tukwila,WA,UNITED STATES,98188-2919,206-439-1740 STORE,true,true,,,,,,http://www.puetzgolf.com/puetz-golf-tukwila-superstore,"402 Strander Blvd, Tukwila, WA 98188, USA",Puetz Golf Tukwila Superstore,,,,,,
62,Northway Golf Center,1519 Crescent Rd,"Halfmoon, NY 12065-7891",Halfmoon,NY,UNITED STATES,12065-7891,518-371-3141,true,true,,,,,,http://www.northway8golf.com/,"1519 Crescent Rd, Clifton Park, NY 12065, USA",Northway Golf Center,,,,,,
63,Performance Clubworks,1 Sand Cut Rd,"Brookfield, CT 06804-2600",Brookfield,CT,UNITED STATES,06804-2600,203-778-2777,true,true,,,,,,http://www.performanceclubworks.com/,"1 Sand Cut Rd, Brookfield, CT 06804, USA",Performance Clubworks,,,,,,
64,Chris Cotes Golf Shop,750 Portland Cobalt Rd,"Portland, CT 06480-1760",Portland,CT,UNITED STATES,06480-1760,860-342-2226 ,true,true,,,,,,http://www.chriscotegolf.com/,"750 Portland-Cobalt Rd, Portland, CT 06480, USA",Chris Cote's Golf Shop,,,,,,
65,Golf Services Inc,6958 W Main St,"Kalamazoo, MI 49009-8026",Kalamazoo,MI,UNITED STATES,49009-8026,269-372-5956,true,true,,,,,,http://www.golf-services.com/,"6958 W Main St, Kalamazoo, MI 49009, USA",Golf Services,,,,,,
66,Sea Island Golf Club,100 Retreat Rd,"Saint Simons Island, GA 31522-2491",Saint Simons Island,GA,UNITED STATES,31522-2491,912-638-3611 ,true,true,,,,,,https://www.seaisland.com/performance-center/?utm_source=google&utm_medium=organic&utm_campaign=GMB,"100 Retreat Road, Saint Simons Island, GA 31522, USA",Sea Island Golf Performance Center,,,,,,
67,Golfdom,8203 Watson St,"Mclean, VA 22102-4402",Mclean,VA,UNITED STATES,22102-4402,703-790-8844,true,true,,,,,,http://www.golfdomgolf.com/,"8203 Watson St, McLean, VA 22102, USA",Golfdom,,,,,,
69,Golf Exchange,7729 Mall Rd,"Florence, KY 41042-1405",Florence,KY,UNITED STATES,41042-1405,859-282-0444 ,true,true,,,,,,http://www.golfexchange.com/,"7729 Mall Rd, Florence, KY 41042, USA",Golf Exchange,,,,,,
70,New York Golf Center,Chelsea Piers 62 N River,"New York, NY 10011",New York,NY,United States,10011,212-242-8899,true,true,,,,,,http://www.nygolfcenter.com/,"131 W 35th St, New York, NY 10001, USA",New York Golf Center,,,,,,
71,New York Golf Center,100 Park Avenue,"New York, NY 10017",New York,NY,UNITED STATES,10017,212-564-0078,true,true,,,,,,http://www.nygolfcenter.com/,"131 W 35th St, New York, NY 10001, USA",New York Golf Center,,,,,,
72,Koosa Golf - Lexington,5058 Sunset Blvd,"Lexington, SC 29072-9255",Lexington,SC,UNITED STATES,29072-9255,803-359-3333,true,true,,,,,,http://www.koosagolf.com/,"5058 Sunset Blvd, Lexington, SC 29072, USA",Koosa Golf - Lexington,,,,,,
73,"542 - Golf Town, Winnipeg South",2355 Mcgillivray Blvd Unit #150,"Winnipeg, MB R3Y0A1",Winnipeg,MB,CANADA,R3Y0A1,204-488-7480 ,true,true,,,,,,http://www.golftown.com/,"2355 McGillivray Blvd, Winnipeg, MB R3Y 0A1, Canada",Golf Town,,,,,,
74,St. Charles Country Club,100 Country Club Blvd,"Winnipeg, MB R3K1Z3",Winnipeg,MB,CANADA,R3K1Z3,204-888-8229 ,true,true,,,,,,http://www.stcharlescountryclub.ca/,"100 Country Club Blvd, Winnipeg, MB R3K 1Z3, Canada",St Charles Country Club,,,,,,
75,"518 - Golf Town, Winnipeg",915 Empress St. Unit100,"Winnipeg, MB R3G3P8",Winnipeg,MB,CANADA,R3G3P8,204-775-5534 ,true,true,,,,,,http://www.golftown.com/,"915 Empress St, Winnipeg, MB R3G 3P8, Canada",Golf Town,,,,,,
76,"555 - Golf Town, Regina - 555",4720 Gordon Road,"Regina, SK S4W0B7",Regina,SK,CANADA,S4W0B7,306-522-3692 ,true,true,,,,,,http://www.golftown.com/,"4720 Gordon Rd, Regina, SK S4W 0B7, Canada",Golf Town,,,,,,
77,Essex Golf & Country Club,7555 Matchette Road,"Windsor, ON N9J2S4",Windsor,ON,CANADA,N9J2S4,519-734-7816 ,true,true,,,,,,http://www.essexgolf.com/,"7555 Matchette Rd, Windsor, ON N9J 2S4, Canada",Essex Golf & Country Club,,,,,,
78,"535 - Golf Town, Windsor",1695 Manning Road Unit #100,"Windsor, ON N8N2L9",Windsor,ON,CANADA,N8N2L9,519-739-9707 ,true,true,,,,,,http://www.golftown.com/,"1695 Manning Rd, Windsor, ON N8N 2L9, Canada",Golf Town,,,,,,
79,"525 - Golf Town, London",1250 Fanshawe Park Rd West Unit B3,"London, ON N6G5B1",London,ON,CANADA,N6G5B1,519-472-0075 ,true,true,,,,,,http://www.golftown.com/,"1250 Fanshawe Park Rd W, London, ON N6G 5B1, Canada",Golf Town,,,,,,
80,Sunningdale Golf & Country Club Ltd,465 Sunningdale Rd W,"London, ON N6G5B9",London,ON,CANADA,N6G5B9,519-660-8062 ,true,true,,,,,,http://www.sunningdalegolf.com/,"465 Sunningdale Rd W, London, ON N6G 5B9, Canada",Sunningdale Golf & Country Club,,,,,,
81,Riverside Country Club,3180 Grasswood Rd W,"Corman Park, SK S7T1A1",Corman Park,SK,CANADA,S7T1A1,306-373-1292,true,true,,,,,,http://www.riversidecc.ca/,"3180 Grasswood Road West, Corman Park No. 344, SK S7T 1A1, Canada",Riverside Country Club,,,,,,
82,"536 - Golf Town, Saskatoon",#110-3015 Clarence Avenue South,"Saskatoon, SK S7T0B4",Saskatoon,SK,CANADA,S7T0B4,306-652-4571 ,true,true,,,,,,http://www.golftown.com/,"3015 Clarence Ave S, Saskatoon, SK S7T 0B4, Canada",Golf Town,,,,,,
83,"558 - Golf Town, Waterloo",225 The Boardwalk,"Kitchener, ON N2N0B1",Kitchener,ON,CANADA,N2N0B1,519-570-4653 ,true,true,,,,,,http://www.golftown.com/,"225 The Boardwalk, Kitchener, ON N2N 0B1, Canada",Golf Town,,,,,,
84,"526 - Golf Town, Kitchener",310 Fairway Road South Unit 2,"Kitchener, ON N2C1X3",Kitchener,ON,CANADA,N2C1X3,519-893-4954 ,true,true,,,,,,http://www.golftown.com/,"310 Fairway Rd S, Kitchener, ON N2C 1X3, Canada",Golf Town,,,,,,
85,Paradise Canyon G & C,185 Canyon Blvd West,"Lethbridge, AB T1K 6V1",Lethbridge,AB,CANADA,T1K 6V1,403-381-4653,true,true,,,,,,http://www.playinparadise.com/,"185 Canyon Blvd W, Lethbridge, AB T1K 6V1, Canada",Paradise Canyon Golf Resort,,,,,,
86,Lethbridge CC,101 Country Club Rd,"Lethbridge, AB T1K 7N9",Lethbridge,AB,CANADA,T1K 7N9,403-327-6432,true,true,,,,,,https://lccgolf.com/,"101 Country Club Rd, Lethbridge, AB T1K, Canada",Lethbridge Country Club,,,,,,
87,Cambridge Golf & Fashion,611 Hespeler Rd,"Cambridge, ON N1R6J3",Cambridge,ON,CANADA,N1R6J3,519-622-3010,true,true,,,,,,http://cambridgegolfclub.com/,"1346 Clyde Rd, Cambridge, ON N1R 5S7, Canada",Cambridge Golf Club,,,,,,
88,"512 - Golf Town, Hamilton",1100 Golf Links Road Unit 1,"Ancaster, ON L9K1J8",Ancaster,ON,CANADA,L9K1J8,905-304-7405 ,true,true,,,,,,http://www.golftown.com/,"1100 Golf Links Rd, Ancaster, ON L9K 1J8, Canada",Golf Town,,,,,,
89,Burlington Golf & Country Club,422 North Shore Blvd E,"Burlington, ON L7T1W9",Burlington,ON,CANADA,L7T1W9,905-634-7726 ext. 239,true,true,,,,,,http://www.burlingtongolfclub.com/,"422 North Shore Blvd E, Burlington, ON L7T 1W9, Canada",Burlington Golf & Country Club,,,,,,
90,"557 - Golf Town, Burlington",3019 Appleby Line,"Burlington, ON L7M0V7",Burlington,ON,CANADA,L7M0V7,905-331-5865 ,true,true,,,,,,http://www.golftown.com/,"3019 Appleby Line, Burlington, ON L7M 0V7, Canada",Golf Town,,,,,,
91,Brampton Golf Club,7700 Kennedy Road,"Brampton, ON L6W0A1",Brampton,ON,CANADA,L6W0A1,905-457-4443,true,true,,,,,,http://www.bramptongolf.com/,"7700 Kennedy Rd, Brampton, ON L6W 0A1, Canada",Brampton Golf Club,,,,,,
92,"514 - Golf Town, Heartland",785 Britannia Road West Unit 5,"Mississauga, ON L5V2Y1",Mississauga,ON,CANADA,L5V2Y1,905-567-9647 ,true,true,,,,,,http://www.golftown.com/,"785 Britannia Rd W, Mississauga, ON L5V 2Y1, Canada",Golf Town,,,,,,
93,"502 - Golf Town, Mississauga",3050 Vega Blvd. Unit 10b &10c,"Mississauga, ON L5L5X8",Mississauga,ON,CANADA,L5L5X8,905-569-2088 ,true,true,,,,,,http://www.golftown.com/,"3050 Vega Blvd, Mississauga, ON L5L 5X8, Canada",Golf Town,,,,,,
94,The Toronto Golf Club,1305 Dixie Rd,"Mississauga, ON L5E2P5",Mississauga,ON,CANADA,L5E2P5,905-278-1212 ,true,true,,,,,,http://www.torontogolfclub.com/,"1305 Dixie Rd, Mississauga, ON L5E 2P5, Canada",Toronto Golf Club,,,,,,
95,"539 - Golf Town, Etobicoke",1561 The Queensway,"Etobicoke, ON M8Z1T8",Etobicoke,ON,CANADA,M8Z1T8,416-503-8330 ,true,true,,,,,,http://www.golftown.com/,"1561 The Queensway, Etobicoke, ON M8Z 1T8, Canada",Golf Town,,,,,,
96,St George's Golf & Country Club,1668 Islington Ave,"Etobicoke, ON M9A3M9",Etobicoke,ON,CANADA,M9A3M9,416-231-9350 ,true,true,,,,,,http://www.stgeorgesgolfandcountryclub.com/,"1668 Islington Ave, Etobicoke, ON M9A 3M9, Canada",St. George's Golf and Country Club,,,,,,
97,St George's Golf & Country Club,1668 Islington Ave,"Etobicoke, ON M9A3M9",Etobicoke,ON,CANADA,M9A3M9,416-231-3393,true,true,,,,,,http://www.stgeorgesgolfandcountryclub.com/,"1668 Islington Ave, Etobicoke, ON M9A 3M9, Canada",St. George's Golf and Country Club,,,,,,
