id,name,mail_address_1,mail_address_2,city,state,country,zip,phone,longitude,latitude,place_id,website,formatted_address,google_places_name,email,duplicate_domain,created_at,updated_at,source_brand,source_url
45,Neway Grenoble,32 Rue de Comboire 38130 Echirolles France,,Echirolles,,France,38130,Tel: +33 476097212,5.69019,45.143323,haHTchEeAW_aGpSBbDSzkg,www.neway38.com,"32 Rue de Comboire 
  38130 Echirolles 
  France",,neway38@orange.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
46,Surfit,5 Rue Du Verdun 74940 Annecy le Vieux France,,Annecy le Vieux,,France,74940,Tel: +33 4 50 27 87 65,6.158492,45.906468,wZY4tkyByphd-1LZpm94rg,www.surfit.fr,"5 Rue Du Verdun 
  74940 Annecy le Vieux 
  France",,contact@surfit.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
47,Sail and Board,12 Route De La Roche Sur Yon 85360 La Tranche Sur Mer France,,La Tranche Sur Mer,,France,85360,Tel: +33 2 51 30 36 02,-1.3967998,46.4103195,AWxbdpplxALE2GGSerBWMg,"","12 Route De La Roche Sur Yon 
  85360 La Tranche Sur Mer 
  France",,pascal.bothorel@free.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
48,Sport Maximum,122 Bld Clemenceau 76600 Le Havre France,,Le Havre,,France,76600,Tel: +33 2 35 21 09 05 / Mobile: 0679830841,0.0979775,49.4893882,usx-vdc6j_Kp23OVsT9fIw,www.sportmax.fr,"122 Bld Clemenceau 
  76600 Le Havre 
  France",,grego@sport-maximum.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
49,Surf Avenue Rennes,Mont Gerval ZA du Triangle Vert 35520 La Meziere France,,La Meziere,,France,35520,Tel: +33 2 99 36 07 36,-1.7562277,48.2196296,-Elm44UjlHOUflAjlVld9Q,www.surfavenue-rennes.com,"Mont Gerval ZA du Triangle Vert 
  35520 La Meziere 
  France",,surfavenue@laposte.net,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
50,Le Marin,Quai Jean Verandy 13500 Carro France,,Carro,,France,13500,Tel: +33 442428899,5.039981,43.329605,i_O_391bYC7GJgri1_5CNA,www.carro-surfshop.com,"Quai Jean Verandy 
  13500 Carro 
  France",,marinsurfshop@free.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
51,Welcome Hyeres,109 Allee Du Poussetroute De Giens 83400 Hyeres France,,Hyeres,,France,83400,Tel: +33 4 94 58 96 90,6.133659,43.039188,6LH1w1N0af0Iqj_FxbX2QA,www.welcomesurfhyeres.com,"109 Allee Du Poussetroute De Giens 
  83400 Hyeres 
  France",,welcomehyeres@hotmail.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
52,La Manille,1 Avenue des Pins 17650 St Denis d'Oléron France,,St Denis d'Oléron,,France,17650,Tel: +33 546 47 92 60,-1.378025,46.035204,WH9vy1YQ0_w31LEzItJ1Kg,"","1 Avenue des Pins 
  17650 St Denis d'Oléron 
  France",,lamanille0616@orange.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
53,Neway Royan,1 allée du Lougre  17200 Royan France,,Royan,,France,17200,Tel: +33 5 46 39 87 26,-1.030876,45.618989,EVRVSQtxLTDj87t0qf3H0Q,"","1 allée du Lougre  
  17200 Royan 
  France",,newayroyan@wanadoo.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
54,Ridedealer,3 rue des Franciscains 68100 MULHOUSE France,,MULHOUSE,,France,68100,Tel: 33389451652,7.33344,47.746762,tiB80yB1Bu4wFpXW4LxDXg,"","3 rue des Franciscains 
  68100 MULHOUSE 
  France",,info@ridealer.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:43 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
55,Yemanja,Route du Stiletto 20090 Ajaccio France,,Ajaccio,,France,20090,Tel:  0495242850,8.765566,41.946633,Rswyigp9HFUu7_FfUTZAog,http://yemanjasurfshop.fr,"Route du Stiletto 
  20090 Ajaccio 
  France",,yemanjasurfshop@gmail.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
56,Gliss evo,Port de plaisance  44380  Pornichet France,, Pornichet,,France,44380,Tel:  02 40 11 94 76,-2.345985,47.25813,fav_Yo4cC5gwyzDDNsR_RQ,"","Port de plaisance  
  44380  Pornichet 
  France",,adrien@glissevolution.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
57,Matahari,2 Avenue Jules Ferry 33680 Lacanau France,,Lacanau,,France,33680,Tel: 05 56 03 13 01,-1.201207,45.003598,b4dmjP38R0nem8nXQPE3Lg,"","2 Avenue Jules Ferry 
  33680 Lacanau 
  France",,mataharisurfshop@gmail.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
58,Boarderline,107 Rte du Nant 01280 Prevessins Moëns France,,Prevessins Moëns,,France,01280,Tel: +33 7 87 38 57 49,6.093332,46.264212,YqFFfiSzC4w5qCIYeVsItQ,http://www.boarder-line.com,"107 Rte du Nant 
  01280 Prevessins Moëns 
  France",,contact@ctwdistribution.biz,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:43 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
59,The Corner Shop,25 rue Madame de Stael 92110 CLICHY France,,CLICHY,,France,92110,Tel: 0147318424,2.313987,48.90311,CCC6hLpK9khkMBWLZ5buaA,www.thecornershop.fr,"25 rue Madame de Stael 
  92110 CLICHY 
  France",,cincekite@gmail.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
60,La clinique de la planche,4 place de la Demie Lune 14000 Caen France,,Caen,,France,14000,Tel: 0231838416,-0.338221,49.174302,VHa8gBl3Iv8jzxdNRB9uig,www.cliniquedelaplanche.com,"4 place de la Demie Lune 
  14000 Caen 
  France",,cliniquedelaplanche@gmail.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
61,Surfshop,"455, promenade des Anglais,Bât. Arenice 06200  Nice France",, Nice,,France,06200,Tel: 04 93 98 57 17 / Mobile: 06 11 13 62 30 ,7.255144,43.693462,UbLnlPxnhNsSm_xVnD_jog,http://www.surfshop.fr/,"455, promenade des Anglais,Bât. Arenice 
  06200  Nice 
  France",,xavier@surfshop.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
62,Waimea Surf Shop,3 Esplanade des Gascons 64600 Anglet France,,Anglet,,France,64600,Tel: 0559030297,-1.541407,43.501023,MDP4s7RLay-StlKcqcdCdg,www.waimea.fr,"3 Esplanade des Gascons 
  64600 Anglet 
  France",,waimeasurfshop64@gmail.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
63,ZEPH CONTROL,42 boulevard Wattier 14810  Merville-Franceville France,,Merville-Franceville,,France,14810 ,Tel: 0231241252,-0.203284,49.285331,5vuOrkrpXzcevOkTqUGRaw,http://www.zephcontrol.com/,"42 boulevard Wattier 
  14810  Merville-Franceville 
  France",,mathieu@zephcontrol.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
64,NKS 56,10 Rue du Préleran 56340 Plouharnel France,,Plouharnel,,France,56340,Tel: 0684200060 / Mobile: 0658189377,-3.114321,47.599349,uurEzPQ60HCS4JuUz5LZbg,https://www.nks56.com,"10 Rue du Préleran 
  56340 Plouharnel 
  France",,pierre-romain@orange.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
65,Welcome Surfshop,109 allée du pousset 83400 Hyères France,,Hyères,,France,83400,Tel: 04 94 58 96 90,6.146274,43.049102,RA4_kAqpcSy7KClvnUai1g,www.welcomesurfhyeres.com,"109 allée du pousset 
  83400 Hyères 
  France",,welcomehyeres@hotmail.fr,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
66,Side Shore Brest,100 rue des Mouettes   29200 BREST  France,,BREST ,,France,29200,Tel: 02 98 46 71 85,-4.436175,48.386356,f8ejjpBSnNHqHZCVots6Ow,"","100 rue des Mouettes   
  29200 BREST  
  France",,joris@side-shore.com,false,2019-03-29 10:03:05 UTC,2019-03-29 10:32:40 UTC,Duotone Sports,https://database.boards-and-more.com/api/v1/dt-kites/screenbow/Tmj3DjU7-o6p7horkj3VH_rTB/finder?role=dealer
